Date,Stock_1,Prob_1,Weight_1,Stock_2,Prob_2,Weight_2,Turnover,Gross_Return,Net_Return
2023-06-09,AAPL,0.6125409891448443,0.5,META,0.6033114363990252,0.5,1.0,0.04123025295343574,0.04023025295343574
2023-06-16,V,0.6168676705324747,0.5,META,0.6108416215369789,0.5,1.0,0.015152499214231563,0.014152499214231562
2023-06-23,AMZN,0.6329037754451647,0.5,META,0.6106920888266985,0.5,1.0,0.0009515023380944898,-4.849766190551021e-05
2023-06-30,BRK-B,0.5929243897374754,0.5,AMZN,0.589552360701098,0.5,1.0,-0.00237125230377061,-0.00337125230377061
2023-07-07,BRK-B,0.5862451761260444,0.5,META,0.5727929555546374,0.5,1.0,0.03184161241820227,0.03084161241820227
2023-07-14,META,0.6212986599262629,0.5,AAPL,0.5827559455059599,0.5,1.0,-0.020373175753912842,-0.021373175753912843
2023-07-21,AAPL,0.5738152980521128,0.5,JPM,0.5653847065210201,0.5,1.0,0.016458093162508014,0.015458093162508013
2023-07-28,META,0.649906987966191,0.5,JPM,0.5529579137095401,0.5,1.0,-0.025495027331144504,-0.026495027331144505
2023-08-04,META,0.6343473075043076,0.5,JNJ,0.6143208645261911,0.5,1.0,-0.0003992809487268212,-0.0013992809487268212
2023-08-11,META,0.6138897177947379,0.5,V,0.602395896696292,0.5,1.0,-0.03437859380485708,-0.035378593804857084
2023-08-18,TSLA,0.6023203342452461,0.5,V,0.5765932551730418,0.5,1.0,0.06283586446644918,0.061835864466449175
2023-08-25,TSLA,0.6552896674708999,0.5,BRK-B,0.5959703395973556,0.5,1.0,0.022627189367179,0.021627189367179
2023-09-01,BRK-B,0.6019179829725739,0.5,MSFT,0.5663445099331627,0.5,1.0,0.009486519351418532,0.008486519351418531
2023-09-08,TSLA,0.60072328560248,0.5,V,0.5725307438784372,0.5,2.0,0.03951624221744837,0.03751624221744837
2023-09-15,BRK-B,0.5770994101818475,0.5,GOOGL,0.5677848850857349,0.5,2.0,-0.036484822086155444,-0.038484822086155446
2023-09-22,GOOGL,0.5690089952122303,0.5,BRK-B,0.5637368930563971,0.5,0.0,-0.011346687970194613,-0.011346687970194613
2023-09-29,AMZN,0.6087818758979255,0.5,BRK-B,0.5948612652865427,0.5,1.0,-0.0023483357484698764,-0.0033483357484698764
2023-10-06,AMZN,0.5797932121134899,0.5,V,0.558568572627,0.5,1.0,0.012745432586230954,0.011745432586230953
2023-10-13,GOOGL,0.581240401321514,0.5,AMZN,0.5639840189144584,0.5,1.0,-0.024204549582429513,-0.025204549582429514
2023-10-20,GOOGL,0.5709526942596135,0.5,AAPL,0.5699581208001763,0.5,1.0,-0.06299816511359907,-0.06399816511359907
2023-10-27,GOOGL,0.5823030851719295,0.5,V,0.5797085827194455,0.5,1.0,0.05961361563749257,0.05861361563749257
2023-11-03,V,0.6085610060388477,0.5,AAPL,0.6025253360177181,0.5,1.0,0.03275040585546729,0.03175040585546729
2023-11-10,V,0.6210148764223402,0.5,MSFT,0.5671910941336953,0.5,1.0,0.010045826776668099,0.009045826776668098
2023-11-17,V,0.6145523277831116,0.5,AMZN,0.5786350524161659,0.5,1.0,0.01486936459605892,0.01386936459605892
2023-11-24,AMZN,0.5862999446415045,0.5,META,0.5616515067177474,0.5,1.0,-0.01883572600350092,-0.01983572600350092
2023-12-01,AAPL,0.5602865718825418,0.5,BRK-B,0.557866413435415,0.5,2.0,0.006099637827250759,0.004099637827250759
2023-12-08,BRK-B,0.5813645026010456,0.5,TSLA,0.5700097543574475,0.5,1.0,0.024651192921485876,0.023651192921485875
2023-12-15,BRK-B,0.6147153768139226,0.5,MSFT,0.576943400091614,0.5,1.0,0.00515036830517368,0.00415036830517368
2023-12-22,MSFT,0.5727199842412347,0.5,JPM,0.5659500482720143,0.5,1.0,0.01001350203309681,0.00901350203309681
2023-12-29,BRK-B,0.6059300726267446,0.5,MSFT,0.5602752932066231,0.5,1.0,0.0014961313506758334,0.0004961313506758333
2024-01-05,META,0.5925524612570905,0.5,AAPL,0.553462543992461,0.5,2.0,0.045102510305716104,0.0431025103057161
2024-01-12,JNJ,0.5708788748885296,0.5,JPM,0.5708788748885296,0.5,2.0,0.0015405089438157438,-0.00045949105618425627
2024-01-19,AMZN,0.5880070105298234,0.5,META,0.5708788748885296,0.5,2.0,0.02610621273711744,0.02410621273711744
2024-01-26,JNJ,0.5816953226233623,0.5,V,0.5791691700359562,0.5,2.0,0.008182975213624877,0.006182975213624877
2024-02-02,BRK-B,0.6284171750855255,0.5,V,0.5772564012335051,0.5,1.0,0.009314735617962755,0.008314735617962754
2024-02-09,V,0.6605517995667267,0.5,TSLA,0.6382679640532349,0.5,1.0,0.02033241668778263,0.019332416687782628
2024-02-16,V,0.6278838408310624,0.5,AMZN,0.6165327979465702,0.5,1.0,0.025210741292784,0.024210741292784
2024-02-23,AMZN,0.5773430830794346,0.5,AAPL,0.5699122176665272,0.5,1.0,0.0013943517870163014,0.00039435178701630134
